Percent_complete_for_all_immunizations,County
90.2,GRAYS HARBOR
100,OKANOGAN
94.1,CLARK
87.3,SPOKANE
79.1,SNOHOMISH
94.6,SNOHOMISH
92.4,PIERCE
100,PIERCE
91.4,KING
94.3,KING
90.7,KING
90,KING
91.4,KING
88.8,KING
93.7,KING
96.4,KING
95,KING
86.5,PIERCE
76.4,THURSTON
95.8,PIERCE
87.5,CLARK
88.9,SPOKANE
79,SPOKANE
98.6,KING
,SNOHOMISH
90.3,KING
96,PIERCE
94.8,GRANT
,KING
91.2,SNOHOMISH
95.8,SNOHOMISH
92,PIERCE
84.2,SNOHOMISH
82.1,KING
100,WHITMAN
82.5,ISLAND
95.2,PIERCE
84.6,GRANT
80.6,KING
76.1,CLARK
86.4,KING
85.5,KING
91.6,SNOHOMISH
57,BENTON
50.4,CLARK
0,WHITMAN
94,KING
76.2,KING
97.8,BENTON
91.7,SPOKANE
95.7,YAKIMA
97.8,CHELAN
92.3,CLARK
79.4,LEWIS
66.7,COWLITZ
89,SPOKANE
75,OKANOGAN
,WALLA WALLA
86.5,BENTON
92.7,SNOHOMISH
93.6,SPOKANE
88,SPOKANE
91.7,SPOKANE
81.7,PIERCE
89.2,CLARK
92.5,PIERCE
96,KING
96.7,SPOKANE
94.9,PIERCE
100,SNOHOMISH
96.5,PIERCE
46.2,SNOHOMISH
95.9,GRAYS HARBOR
88.4,KITTITAS
59.4,THURSTON
92.3,SKAGIT
84.4,CLARK
98.1,YAKIMA
95.9,BENTON
90.3,SPOKANE
88.1,CLALLAM
95.8,WALLA WALLA
94,PIERCE
87.7,SNOHOMISH
,ASOTIN
89.4,WHITMAN
88.1,ADAMS
95.2,KING
86.9,ADAMS
70.4,ADAMS
64.6,ADAMS
92.7,SPOKANE
90.4,PIERCE
79,SNOHOMISH
,KING
94.2,SKAGIT
66.7,KITTITAS
,KITTITAS
75,OKANOGAN
86.3,THURSTON
,KING
46.4,KING
85.4,PIERCE
89.1,KING
93.3,SPOKANE
93.9,PACIFIC
99.5,FRANKLIN
93.7,SPOKANE
89.5,GRANT
74.1,STEVENS
100,COWLITZ
72.5,SAN JUAN
70.7,SAN JUAN
,STEVENS
91,SNOHOMISH
81.2,WHATCOM
83,KING
89.7,PIERCE
91.3,KING
90.3,SKAGIT
89.5,WHATCOM
97.2,ADAMS
87.7,THURSTON
,KLICKITAT
,KLICKITAT
89.3,SKAGIT
65.7,WHATCOM
81.4,WHATCOM
95.6,WHATCOM
90.2,WHATCOM
86.2,WHATCOM
95.3,SNOHOMISH
87.1,SNOHOMISH
91.6,KING
93.9,PIERCE
91.8,YAKIMA
89.8,SNOHOMISH
94.8,SPOKANE
92.9,SNOHOMISH
92.7,SKAGIT
67.1,THURSTON
79.6,KING
97,KING
81.7,KING
88.1,SNOHOMISH
56.9,KITSAP
52.9,KING
81.3,SNOHOMISH
94.8,KITSAP
95.9,PIERCE
89.2,KING
95,PIERCE
90.2,PIERCE
81.4,DOUGLAS
94.6,CHELAN
90.7,CHELAN
80.8,CHELAN
92.3,KING
77.3,CLARK
92,KING
93.7,PIERCE
94.7,SNOHOMISH
92.2,PIERCE
97,KING
97.5,BENTON
91.6,KITSAP
91.4,YAKIMA
93.4,SNOHOMISH
94.5,COWLITZ
99.1,FRANKLIN
98.6,KING
,GRANT
71.2,CLARK
94.6,SNOHOMISH
,KITSAP
90.8,SNOHOMISH
94.7,CLARK
98.7,YAKIMA
92.6,KING
93.5,KING
93,KING
70.4,GRAYS HARBOR
80,GRAYS HARBOR
94.2,SKAGIT
46.9,STEVENS
90,SNOHOMISH
85.7,SNOHOMISH
82.3,SNOHOMISH
91.1,SNOHOMISH
94,PIERCE
32.5,MASON
100,KING
97.7,GRANT
90.1,KING
98.4,FRANKLIN
100,KITTITAS
92.9,KING
95.4,KING
88.4,KING
67.6,PIERCE
91.7,KING
95.9,PIERCE
65.1,GRAYS HARBOR
,YAKIMA
98.1,YAKIMA
76.7,KING
91,GRAYS HARBOR
88.6,SPOKANE
88.7,ADAMS
91.1,KING
85.6,THURSTON
88.1,THURSTON
98.1,YAKIMA
96.7,KING
85.3,THURSTON
90.2,CLARK
93.7,FRANKLIN
99.6,KING
71.7,KING
87.5,SPOKANE
84.6,KING
94.8,SPOKANE
88.5,SPOKANE
84.1,KING
92.8,SNOHOMISH
92.4,SNOHOMISH
91,SNOHOMISH
93.1,CLARK
69.6,THURSTON
64.1,SPOKANE
89.8,SPOKANE
82.8,SPOKANE
91,KING
94.9,KING
91.5,PIERCE
93.7,KING
52.9,KITSAP
95.9,PIERCE
95,KING
95.6,KING
89.8,KING
85.1,KING
93.3,KING
92.7,WHATCOM
85,WHATCOM
96.2,KING
93.3,KING
89.7,KING
87.5,KING
95.5,PIERCE
89.6,FRANKLIN
85.7,OKANOGAN
65.9,OKANOGAN
94.3,SPOKANE
92.3,THURSTON
100,ADAMS
78,KING
61.3,KITSAP
98.9,PIERCE
,KING
91.2,SPOKANE
94.2,GRANT
,SKAMANIA
91.9,SNOHOMISH
86.2,KING
74.7,CLARK
73.2,THURSTON
89.8,KING
90.7,GRAYS HARBOR
87.1,CLARK
96.5,COWLITZ
93.6,PIERCE
94.1,KING
100,PACIFIC
97,CHELAN
50,KING
100,ASOTIN
88.8,SNOHOMISH
93.7,SNOHOMISH
93.5,SNOHOMISH
95.1,SNOHOMISH
95,SNOHOMISH
87.5,GRAYS HARBOR
79.7,WHATCOM
,KING
55.6,COWLITZ
89.5,KITSAP
80.6,KITSAP
48,WHITMAN
94.3,YAKIMA
89.4,SNOHOMISH
92.3,COWLITZ
86,KING
90,GRANT
92.4,KING
93.8,SPOKANE
81.2,KITTITAS
95.1,CHELAN
100,KING
80.9,PIERCE
98.6,GRANT
76.2,LEWIS
73.7,LEWIS
82.1,GRANT
93.8,GRANT
,LEWIS
,WHITMAN
90.7,LEWIS
84.4,LEWIS
99.2,YAKIMA
